title,release_date,genres
Stinger,2005-01-01,"Action, Horror, Science Fiction, Adventure"
BraveStorm,2017-11-10,"Action, Adventure, Science Fiction"
Infested,2002-10-18,"Science Fiction, Horror"
MutantLand,2010-06-01,"Horror, Animation, Science Fiction"
Zombie Night,2003-10-16,"Horror, Science Fiction"
6 Minutes of Death,2013-03-11,Science Fiction
ETXR,2014-03-31,"Music, Adventure, Science Fiction"
Ultraman Ginga S the Movie: Showdown! The 10 Ultra Warriors!,2015-03-15,"Fantasy, Action, Science Fiction"
The Forest,2012-12-14,"Drama, Fantasy, Science Fiction"
Misterio,2013-02-01,Science Fiction
"Zero - Sie wissen, was Du tust",2021-11-03,"TV Movie, Thriller, Science Fiction, Crime"
Heisei Rider vs. Showa Rider: Kamen Rider Wars feat. Super Sentai,2014-03-29,"Action, Adventure, Science Fiction"
Good Business,2017-07-10,"Science Fiction, Horror"
Meow,2017-07-20,"Science Fiction, Comedy, Family, Fantasy"
Altergeist,2014-08-25,"Thriller, Horror, Science Fiction"
Phil the Alien,2004-09-11,"Action, Comedy, Science Fiction"
Hellbinders,2009-01-01,"Action, Fantasy, Horror, Science Fiction, Thriller"
Out of the Blue,2003-06-24,"Documentary, History, Science Fiction"
Dr. Plonk,2007-08-30,"Action, Comedy, Drama, Science Fiction"
3G,2013-03-14,"Horror, Science Fiction, Thriller"
Anomaly,2016-08-22,"Science Fiction, Horror, Mystery"
Aria the Benedizione,2021-12-03,"Animation, Comedy, Science Fiction, Fantasy"
Tokumei Sentai Go-Busters vs. Kaizoku Sentai Gokaiger: The Movie,2013-01-19,"Action, Adventure, Science Fiction"
Fissures,2007-06-06,"Mystery, Crime, Drama, Science Fiction"
Mis-drop,2013-12-01,"Thriller, Science Fiction"
Lockjaw: Rise of the Kulev Serpent,2008-07-14,"Horror, Science Fiction, Family"
Snow Shark: Ancient Snow Beast,2011-10-12,"Science Fiction, Horror"
Mobile Suit Gundam Narrative,2018-11-30,"Animation, Science Fiction, Action"
Turn A Gundam II: Moonlight Butterfly,2002-02-10,"Animation, Science Fiction"
Turn A Gundam I: Earth Light,2002-02-09,"Animation, Science Fiction"
1313: Giant Killer Bees!,2011-03-31,"Horror, Science Fiction"
Rejection,2009-09-26,"Science Fiction, Thriller, Drama"
Darkening Sky,2011-11-01,"Horror, Thriller, Science Fiction"
Dark By Noon,2013-05-06,"Drama, Thriller, Science Fiction"
Tycus,2000-08-08,"Action, Science Fiction"
Three Inches,2011-12-29,"Drama, Action, Science Fiction"
The Legend of the Galactic Heroes: Die Neue These Seiran 2,2019-10-25,"Animation, Science Fiction"
Oxalis,2018-02-08,Science Fiction
The Fitzroy,2017-01-01,"Science Fiction, Comedy"
Kamen Rider Reiwa: The First Generation,2019-12-21,"Action, Adventure, Science Fiction"
They're Made Out of Meat,2005-09-11,"Comedy, Science Fiction"
Gunbuster: The Movie,2006-10-01,"Animation, Action, Adventure, Drama, Science Fiction"
"Snow, Tea and Love",2021-09-10,"Comedy, Science Fiction"
This Ain't Star Trek XXX,2009-05-11,"Comedy, Science Fiction"
Garakowa -Restore the World-,2016-01-09,"Animation, Drama, Science Fiction"
Once There Was Brasília,2017-08-05,"Science Fiction, Drama, Documentary"
Judge Minty,2013-05-05,Science Fiction
Total Retribution,2011-02-02,"Horror, Science Fiction, Thriller"
Sex and the Future,2020-04-01,"Comedy, Science Fiction"
11 Minutes Ago,2007-04-26,"Drama, Science Fiction, Romance"
Mold!,2012-05-21,"Horror, Science Fiction, Comedy"
Rogue Warrior: Robot Fighter,2017-06-02,"Action, Science Fiction"
Second Time Around,2002-01-11,"Drama, Fantasy, Romance, Science Fiction"
Egg,2005-03-06,"Fantasy, Horror, Drama, Science Fiction"
District C-11,2017-03-21,"Drama, Science Fiction, Thriller, Action, Crime"
Grey Skies,2010-01-01,"Thriller, Science Fiction"
Street Fighter - Round One - FIGHT!,2009-02-03,"Animation, Fantasy, Horror, Science Fiction"
Avarya,2019-04-14,"Science Fiction, Animation"
Bakuryu Sentai Abaranger Deluxe: Abare Summer is Freezing Cold!,2003-08-16,"Action, Adventure, Science Fiction, Fantasy"
Happy Here and Now,2002-06-08,"Drama, Mystery, Science Fiction, Thriller"
Epoch Evolution,2003-11-29,"Action, Science Fiction, Thriller"
Notzilla,2019-07-13,"Comedy, Science Fiction"
Bakuryuu Sentai Abaranger vs. Hurricaneger,2004-03-12,"Action, Adventure, Science Fiction, Fantasy"
Juken Sentai Gekiranger vs. Boukenger,2008-03-14,"Action, Adventure, Science Fiction, Fantasy"
Tokusou Sentai Dekaranger vs Abaranger,2005-03-11,"Crime, Action, Adventure, Science Fiction"
"Kamen Rider Zi-O NEXT TIME: Geiz, Majesty",2020-02-28,"Action, Adventure, Science Fiction, Fantasy, Drama"
Garuda,2004-04-01,"Action, Science Fiction, Thriller"
Shifter,2020-03-06,"Horror, Science Fiction, Thriller"
The Predator Holiday Special,2018-12-19,"Comedy, Horror, Science Fiction, Animation"
New World Order X,2013-03-26,"Drama, Science Fiction"
Lathe of Heaven,2002-09-08,"Science Fiction, TV Movie"
"Devoto, la invasión silenciosa",2020-05-07,"Science Fiction, Thriller, Action"
Crimson Force,2005-06-04,"Science Fiction, Action"
First Signal,2021-04-26,"Drama, History, Science Fiction"
Insecticidal,2005-04-28,"Horror, Thriller, Science Fiction"
LUNAR,2013-10-31,Science Fiction
Plug,2014-10-25,Science Fiction
The Tenant,2011-08-19,"Horror, Action, Thriller, Science Fiction"
Dyke Hard,2014-11-08,"Comedy, Action, Adventure, Fantasy, Science Fiction, Horror, Music"
.hack//Beyond the World,2012-01-21,"Animation, Action, Science Fiction"
Death Dive,2015-02-20,"Science Fiction, Adventure, Horror"
Creature 3D,2014-09-12,"Science Fiction, Horror"
Nothing Really Happens,2017-06-26,"Comedy, Science Fiction"
Skelter+Heaven,2004-12-08,"Action, Animation, Science Fiction"
Looney Tunes: Stranger Than Fiction,2003-10-28,"Adventure, Animation, Comedy, Family, Science Fiction, Horror, Fantasy"
Future Boyfriend,2016-04-16,"Science Fiction, Comedy"
Ninpuu Sentai Hurricaneger: 10 YEARS AFTER,2013-08-09,"Action, Adventure, Science Fiction, Fantasy"
Termination,2019-08-11,"Action, Horror, Science Fiction"
Twenty Twenty-Four,2017-02-05,"Thriller, Mystery, Science Fiction"
The Black Knight Returns,2009-02-01,"Action, Adventure, Science Fiction"
PostHuman,2012-04-13,"Action, Science Fiction, Animation, Thriller"
Laika,2017-11-02,"Animation, Comedy, Science Fiction"
Kamen Rider × Super Sentai × Space Sheriff: Super Hero Wars Z,2013-04-27,"Action, Adventure, Science Fiction"
Flashout,2019-03-22,Science Fiction
The Moment After 2: The Awakening,2006-05-28,"Science Fiction, Thriller"
Super Capers,2009-03-20,"Adventure, Comedy, Science Fiction"
Phenomenon II,2003-11-01,"Drama, Science Fiction"
Varmints,2008-01-01,"Animation, Science Fiction"
Eternity,2013-01-01,"Science Fiction, Mystery"
Azureus Rising,2010-04-06,"Science Fiction, Animation"
Saikano: The Last Love Song on This Little Planet,2006-01-28,"Action, Thriller, Science Fiction, Romance"
Third Kind,2018-05-20,Science Fiction
El Ens Wa El Nems,2021-08-04,"Comedy, Science Fiction, Adventure"
War of the Worlds the True Story,2012-06-14,"Action, Horror, Science Fiction"
Agent,2017-02-03,"Action, Science Fiction, Thriller"
Atmosphere,2010-03-10,Science Fiction
Sole Survivor,2000-09-13,"Mystery, Science Fiction, TV Movie, Thriller, Drama"
Housewives from Another World,2010-05-06,"Comedy, Science Fiction"
Night Zero,2018-05-22,"Science Fiction, Horror, Thriller"
The Girl,2014-11-03,"Thriller, Science Fiction"
Singularity,2015-11-07,"Action, Science Fiction"
The Sex Files: A Dark XXX Parody,2009-09-30,Science Fiction
"I'm You, Dickhead",2014-07-31,"Science Fiction, Comedy"
Malice@Doll,2001-04-27,"Animation, Horror, Science Fiction"
Super Hero Wars GP: Kamen Rider #3,2015-03-21,"Action, Adventure, Science Fiction"
Grande ourse : La clé des possibles,2009-03-27,"Mystery, Science Fiction"
Army of the Dead,2008-01-15,"Action, Adventure, Horror, Science Fiction"
Slaughterbots,2017-11-17,"Science Fiction, Action"
For the Cause,2000-11-15,Science Fiction
ErOddity(s) 2,2015-11-24,"Drama, Horror, Science Fiction"
Collider,2018-08-07,Science Fiction
Mask the Kekkou: Reborn,2012-06-02,"Action, Adventure, Fantasy, Science Fiction"
Cruise Patrol,2013-11-01,"Science Fiction, Animation, Action, Fantasy"
Danielle,2017-11-11,"Fantasy, Science Fiction, Romance"
The Catherine Tate Show: Nan's Christmas Carol,2009-12-25,"Fantasy, Drama, Science Fiction, Family, Comedy"
See You Yesterday,2017-05-31,"Science Fiction, Comedy, Drama"
Guardian of the Realm,2004-06-13,"Horror, Science Fiction"
Anna's Storm,2007-06-02,"Action, Science Fiction, TV Movie"
Useless Humans,2021-02-25,"Horror, Adventure, Comedy, Science Fiction"
The Doll,2017-12-08,"Horror, Science Fiction, Thriller"
Seventy-Nine,2013-09-07,"Action, Thriller, Science Fiction, Mystery, Horror"
Dédalo,2013-09-11,"Horror, Science Fiction"
Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Riders,2016-12-10,"Action, Adventure, Science Fiction"
A Date in 2025,2017-05-03,"Comedy, Drama, Science Fiction"
Plaga zombie: zona mutante: revolución tóxica,2012-03-12,"Horror, Science Fiction, Comedy"
Invincible,2020-06-03,"Action, Science Fiction"
The Lady Shogun and Her Men,2010-10-01,"Science Fiction, Drama, History"
Giantess Attack,2017-05-01,Science Fiction
Intolerance III: The Final Solution,2004-06-13,"Animation, Comedy, Drama, Science Fiction"
Starship,2011-04-30,"Action, Comedy, Thriller, Science Fiction"
Automation,2019-12-03,Science Fiction
After the Apocalypse,2004-03-12,"Drama, Science Fiction"
Last Words,2020-10-21,Science Fiction
Kamen Rider × Kamen Rider OOO & W Featuring Skull: Movie Wars Core,2010-12-18,"Action, Adventure, Science Fiction, Comedy, Drama"
Dirty Blondes from Beyond,2012-05-04,"Comedy, Science Fiction, Romance"
Orbits,2013-12-21,"Romance, Animation, Drama, Science Fiction"
Kamen Rider x Kamen Rider Fourze & OOO Movie Wars Mega Max,2011-12-10,"Action, Adventure, Science Fiction"
Spoon Wars,2011-10-01,"Comedy, Science Fiction, Horror"
Dark Resurrection Volume 0,2011-09-08,"Science Fiction, Action"
Alag,2006-06-16,"Science Fiction, Fantasy, Thriller, Drama"
The Sky,2020-03-06,"Science Fiction, Horror, Drama"
Mahou Sentai Magiranger vs. Dekaranger,2006-03-10,"Action, Adventure, Science Fiction, Fantasy"
Mega Monster Battle: Ultra Galaxy Legends The Movie,2009-12-12,"Action, Adventure, Science Fiction"
Australiens,2015-11-28,"Comedy, Science Fiction"
The Butterfly,2001-10-13,Science Fiction
Ghost In The Shell: The Movie Virtual Reality Diver,2016-02-02,"Action, Adventure, Animation, Crime, Science Fiction, Thriller"
Frost,2012-09-07,"Horror, Science Fiction, Thriller"
Shelter,2015-04-21,"Thriller, Drama, Science Fiction"
Record/Play,2012-09-21,Science Fiction
Gangland,2001-01-01,"Drama, Action, Thriller, Science Fiction"
"OOO, Den-O, All Riders: Let's Go Kamen Riders",2011-04-01,"Action, Adventure, Science Fiction, Drama, Fantasy"
Mobile Suit Gundam 00 Special Edition I: Celestial Being,2009-10-27,"Action, Drama, Adventure, Science Fiction, War, Animation"
Exode,2014-10-03,Science Fiction
Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,2011-08-06,"Action, Adventure, History, Science Fiction"
One Hundred Mornings,2009-07-11,"Drama, Thriller, Science Fiction"
Metroid: The Sky Calls,2015-11-02,Science Fiction
The Legend of the Galactic Heroes: Die Neue These Seiran 3,2019-11-29,"Animation, Science Fiction"
"Kamen Rider Fourze The Movie: It’s Space Time, Everybody!",2012-08-04,"Action, Adventure, Science Fiction"
Arachnicide,2014-04-27,"Science Fiction, Action, Horror"
The Shift,2014-09-22,"Science Fiction, Thriller"
Found in Time,2012-10-05,"Science Fiction, Thriller"
This Time Away,2019-03-30,"Science Fiction, Drama"
Let's Dream,2021-06-19,"Science Fiction, Horror"
Reign in Darkness,2002-11-05,"Action, Horror, Science Fiction"
Kamen Rider Drive: Surprise Future,2015-08-08,"Science Fiction, Action, Adventure, Drama, Family, Mystery"
Alpha Code,2020-07-01,Science Fiction
Cyborg Hookers,2016-01-24,"Comedy, Science Fiction, Romance"
Interplanetary,2009-09-28,"Science Fiction, Horror"
Trial,2016-04-27,"Science Fiction, Action"
Chrome Angels,2009-06-06,"Action, Thriller, Science Fiction"
Truth,2015-01-01,"Thriller, Horror, Science Fiction"
Slow Action,2011-01-28,Science Fiction
The Sector,2016-07-05,"Action, Science Fiction"
By Day and by Night,2010-10-19,Science Fiction
Momentum,2003-03-26,"Science Fiction, Thriller, TV Movie"
Arrowhead Signal,2012-09-09,Science Fiction
Alien: Covenant - Epilogue: David's Lab - Last Signs of Life,2019-08-16,Science Fiction
Black Button,2007-01-30,Science Fiction
Artifacts,2007-10-20,"Horror, Science Fiction"
HH,2017-11-15,Science Fiction
Uchuu Sentai Kyuranger vs. Space Squad,2018-08-08,"Action, Adventure, Science Fiction"
Time Warrior,2013-01-01,"Science Fiction, Action"
Red Room 2,2000-08-04,"Horror, Thriller, Science Fiction"
Kamen Rider Blade: Missing Ace,2004-09-11,"Science Fiction, Action, Adventure"
Mind and Machine,2017-03-26,"Crime, Science Fiction, Thriller"
The Man who Crossed Hitler,2011-08-21,"Drama, Action, History, Thriller, Science Fiction"
InterReflections,2020-01-26,"Fantasy, Science Fiction, Documentary"
The Tiger Blade,2005-10-27,"Action, Comedy, Fantasy, Science Fiction"
Diebuster: The Movie,2006-10-01,"Action, Drama, Adventure, Animation, Science Fiction"
Defcon 2012,2010-02-28,"Science Fiction, Action"
Space Battleship Yamato 2199: Odyssey of the Celestial Ark,2014-12-06,"Animation, Action, Science Fiction, Drama"
Deadlands 2: Trapped,2008-10-27,"Horror, Science Fiction, Thriller"
The Snow Queen,2005-12-24,"Fantasy, Science Fiction, Family"
Loophole,2019-01-08,Science Fiction
The Bracelet of Bordeaux,2007-06-06,"Fantasy, Science Fiction, Family"
Wasteland,2011-10-11,"Science Fiction, Adventure"
Mobile Suit Gundam 00 Special Edition III: Return The World,2010-02-23,"Action, Adventure, Animation, Science Fiction, War"
The World Over,2018-07-15,"Science Fiction, Thriller, Horror"
Praetoria: Part One,2017-11-03,"Animation, Science Fiction, Drama"
The Cannibal in the Jungle,2015-04-27,"Science Fiction, Crime, Horror"
Big Freaking Rat,2020-10-13,"Horror, Science Fiction, Thriller"
X-Treme Fighter,2004-01-01,"Action, Science Fiction"
Arcadia,2016-10-24,"Action, Science Fiction"
The Outer Wild,2018-09-28,"Science Fiction, Horror, Action, Adventure"
It's Me It's Me,2013-05-24,"Comedy, Drama, Science Fiction"
Shutter,2015-06-02,"Thriller, Horror, Science Fiction"
Alien: Covenant - Prologue: She Won't Go Quietly,2017-05-05,Science Fiction
Terminator the Second,2013-11-01,"Action, Science Fiction, Thriller"
A Beautiful Star,2017-05-26,"Science Fiction, Drama"
Planet Raptor,2007-08-08,"Science Fiction, Action"
Space Squad: Space Sheriff Gavan vs. Tokusou Sentai Dekaranger,2017-07-19,"Action, Adventure, Science Fiction"
Final Offer,2018-07-24,"Science Fiction, Comedy"
Scorpius Gigantus,2006-07-25,"Horror, Science Fiction"
Ökozid,2020-11-18,"Drama, Thriller, Science Fiction"
Lone Wolves,2016-12-13,"Action, Science Fiction"
The Great Martian War 1913–1917,2013-12-08,"Drama, War, History, Science Fiction, Documentary"
Gila!,2012-09-15,"TV Movie, Science Fiction, Horror"
Robowar,2018-10-11,"Science Fiction, Action"
They Are Among Us,2004-05-14,"Horror, Science Fiction, Thriller, TV Movie"
Sea Devil,2015-05-02,"Science Fiction, Horror"
Apocalypse Rising,2018-06-12,"Action, Science Fiction"
Mazinkaizer SKL,2010-11-27,"Science Fiction, Animation, Action"
Hunting the Phantom,2014-01-30,"Action, Science Fiction"
John,2017-09-01,"Science Fiction, Drama"
I Am Alone,2015-10-30,"Science Fiction, Drama, Horror"
The Attack of the Robots from Nebula-5,2008-10-30,Science Fiction
Alien Domicile,2017-03-30,"Horror, Mystery, Science Fiction"
Ultraman Zero: The Revenge of Belial,2010-12-23,"Action, Adventure, Family, Science Fiction"
The Portal,2014-03-22,"Science Fiction, Comedy, Fantasy"
Never Open the Door,2014-12-01,"Comedy, Horror, Science Fiction"
Frankie,2011-06-01,Science Fiction
Junk Town,2006-07-01,"Animation, Science Fiction"
StarCraft II: Heart of the Swarm,2013-03-12,Science Fiction
Raumpatrouille Orion - Rücksturz ins Kino,2003-07-24,Science Fiction
Christmas on Mars,2008-11-11,"Music, Science Fiction"
Toxin,2014-02-25,"Action, Horror, Science Fiction"
Simple Creature,2016-08-08,"Thriller, Science Fiction"
Battle Earth,2013-05-28,"War, Science Fiction"
Black Wake,2018-08-07,"Horror, Science Fiction, Thriller, TV Movie"
Disconnect,2010-08-06,"Thriller, Mystery, Crime, Science Fiction"
Transformers: Combiner Wars,2016-08-02,"Animation, Science Fiction"
Ninpuu Sentai Hurricaneger Shushuuto: The Movie,2002-08-17,"Action, Adventure, Science Fiction, Fantasy"
Kaydara,2011-07-05,"Science Fiction, Action"
96 Souls,2016-06-03,"Drama, Mystery, Science Fiction"
Souls of Totality,2018-02-05,"Drama, Romance, Science Fiction"
I'm Not Jesus Mommy,2010-09-30,"Drama, Science Fiction, Thriller"
The Eavesdropper,2004-01-01,"Drama, Thriller, Science Fiction"
Stealing Time,2015-04-25,Science Fiction
Haphead,2015-01-22,Science Fiction
Emmanuelle Through Time: Emmanuelle's Supernatural Sexual Activity,2012-06-02,"Comedy, Fantasy, Science Fiction"
Star Wars: The Last Temptation,2018-01-23,Science Fiction
Extraterrestrial,2007-06-03,"Drama, Science Fiction"
Mindflesh,2008-08-26,"Drama, Horror, Science Fiction, Thriller"
Julie & Jack,2003-01-01,"Romance, Science Fiction"
Beyond Jurassic Park,2001-01-01,"Science Fiction, Adventure, Action, Thriller, Documentary"
The Scientist,2010-04-16,"Drama, Science Fiction"
Lightning: Bolts of Destruction,2003-11-08,"Science Fiction, Action, TV Movie"
Kamen Rider Wizard in Magic Land,2013-08-03,"Action, Adventure, Fantasy, Science Fiction"
Mercano the Martian,2002-10-03,"Animation, Comedy, Science Fiction"
Kamen Rider × Kamen Rider Wizard & Fourze: Movie Wars Ultimatum,2012-12-08,"Action, Adventure, Science Fiction, Drama, Comedy"
Unseen Evil 2,2004-11-23,"Horror, Science Fiction"
The Unliving,2010-11-19,"Romance, Horror, Drama, Science Fiction"
Robot & Scarecrow,2017-06-04,"Drama, Romance, Science Fiction"
Die Gstettensaga: The Rise of Echsenfriedl,2014-03-10,"Science Fiction, Comedy, Horror, Fantasy"
Alice's Birthday,2009-02-19,"Animation, Family, Science Fiction"
William,2019-04-12,Science Fiction
Nails,2003-10-01,"Drama, Horror, Science Fiction"
Cool Gel Attacks,2010-12-02,"Comedy, Science Fiction, Horror"
Dead on Appraisal,2014-03-01,"Comedy, Horror, Science Fiction"
Doctor Who: Clara and the TARDIS,2013-09-24,"Science Fiction, Comedy"
8 Minutes,2017-09-25,"Drama, Science Fiction"
Run,2020-11-19,"Thriller, Drama, Science Fiction"
Millennium Crisis,2007-08-03,Science Fiction
Greatland,2020-10-08,"Science Fiction, Fantasy"
Terminal Error,2002-08-14,"Action, Thriller, Science Fiction"
The Witches Hammer,2006-05-22,"Science Fiction, Horror"
The Adept,2015-06-21,Science Fiction
Day of the Comet,2014-04-24,"Adventure, Science Fiction"
